ep,mgr_lr,loss,plan_score_mean,quality_ema,plan_len_mean,plan_len_ref_mean,plan_under_rate,plan_over_rate,anchor_hop_err_mean,anchor_near_rate,spacing_error_mean,monotonic_violation_rate,first_subgoal_hops_mean,segment_budget_error_mean,first_segment_budget_err_mean,first_segment_overshoot_mean,frontloaded_overshoot_rate,hard_anchor_near_rate,hard_under_rate,hard_first_segment_overshoot,hard_segment_budget_error,corridor_ratio_mean,mgr_grad_norm_preclip,mgr_grad_norm_postclip,manager_clip_hit_rate,mgr_entropy,mgr_nll,aux_ce_loss,warmstart_active,policy_weight,aux_weight
4200,0.0001,1.7693389654159546,-3.8698229789733887,0.19729360050537384,4.25,4.0,0.0,0.03125,2.3125,0.25,0.07996322959661484,0.03125,5.1875,1.5050780773162842,1.328125,0.3984375,0.20156249403953552,0.25,0.0,0.3984375,1.5050780773162842,0.9765625,9.985513687133789,9.985513426563285,0.0,2.068296432495117,2.066676616668701,3.034349203109741,0.0,0.3,0.7
4400,0.0001,2.0820653438568115,-2.721325635910034,0.28050034815359515,4.03125,3.0,0.0,0.0625,2.2083332538604736,0.2916666865348816,0.08092950284481049,0.010416666977107525,3.65625,1.5183160305023193,0.9895833730697632,0.020833328366279602,0.03125,0.0,0.0,0.0,0.0,0.9703124761581421,16.607017517089844,16.60701686384149,0.0,2.2073750495910645,2.710834503173828,2.874154567718506,0.0,0.3,0.7
4600,0.0001,2.252678871154785,-5.176830291748047,0.25221770912730546,3.9375,4.0,0.125,0.03125,2.9609375,0.109375,0.1486978977918625,0.0078125,4.75,1.5694196224212646,1.46875,0.640625,0.4664434790611267,0.109375,0.125,0.640625,1.5694196224212646,0.984375,17.527708053588867,17.527708913954434,0.0,1.901444911956787,2.3861992359161377,3.5213255882263184,0.0,0.3,0.7
4800,0.0001,1.6950926780700684,-3.644960880279541,0.2701058549675049,4.0,4.0,0.09375,0.0,1.8854166269302368,0.4505208432674408,0.09861113131046295,0.0625,4.40625,1.5204427242279053,1.15625,0.4140625,0.19895833730697632,0.4505208432674408,0.09375,0.4140625,1.5204427242279053,0.984375,16.106515884399414,16.106515328629143,0.0,1.9526100158691406,3.379054546356201,2.754206418991089,0.0,0.3,0.7
5000,0.0001,2.681453227996826,-3.055551767349243,0.2216879592179848,4.21875,4.0,0.03125,0.0,2.6692709922790527,0.1875,0.10327379405498505,0.0625,3.46875,1.2379341125488281,0.90625,0.109375,0.19947916269302368,0.1875,0.03125,0.109375,1.2379341125488281,0.96875,36.91437911987305,20.00000247210948,1.0,2.2706446647644043,3.7542827129364014,4.465925216674805,0.0,0.3,0.7
5200,0.0001,3.128408193588257,-3.607968807220459,0.2549195539776296,4.09375,4.0,0.0,0.0,3.2890625,0.0859375,0.10625001788139343,0.03125,3.875,1.72265625,0.90625,0.0,0.0703125,0.0859375,0.0,0.0,1.72265625,0.9921875,28.34897804260254,19.999997714919452,1.0,2.5836105346679688,3.2772700786590576,4.535408020019531,0.0,0.3,0.7
5400,0.0001,2.083491802215576,-3.676301956176758,0.2471847869093768,4.0625,4.0,0.09375,0.0,2.6380209922790527,0.2005208432674408,0.10694444924592972,0.0234375,4.1875,1.5096354484558105,1.09375,0.2421875,0.47447919845581055,0.2005208432674408,0.09375,0.2421875,1.5096354484558105,0.9937499761581421,17.72772216796875,17.72772199413311,0.0,2.5889902114868164,3.5339813232421875,3.3640878200531006,0.0,0.3,0.7
5600,0.0001,2.340775966644287,-5.758537292480469,0.30088774955815956,4.03125,4.0,0.03125,0.0,3.1276040077209473,0.0859375,0.1249999850988388,0.0390625,5.4375,1.5263454914093018,1.78125,0.8671875,0.5234375,0.0859375,0.03125,0.8671875,1.5263454914093018,1.0,39.60531997680664,19.999999207741443,1.0,2.4397804737091064,3.164705753326416,4.80947208404541,0.0,0.5,0.5
5800,0.0001,0.6469223499298096,-3.0782618522644043,0.3150582995181139,4.09375,4.0,0.0,0.0,2.4609375,0.2265625,0.09990809857845306,0.0546875,3.15625,1.3936197757720947,1.1875,0.0,0.20156249403953552,0.2265625,0.0,0.0,1.3936197757720947,0.984375,8.013340950012207,8.013340997931175,0.0,2.533334732055664,3.6152796745300293,2.9805126190185547,0.0,0.5,0.5
6000,0.0001,-0.000588616356253624,-2.368880271911621,0.36141350842682507,1.96875,2.0,0.09375,0.03125,1.21875,0.65625,0.1770833283662796,0.015625,3.25,1.11328125,1.0625,0.265625,0.2734375,0.0,0.0,0.0,0.0,1.0,22.94149398803711,19.99999942352509,1.0,1.850337266921997,3.3079936504364014,3.483839511871338,0.0,0.5,0.5
