episode,success_rate,success_ema,goal_dist_mean,goal_hop_mean,best_goal_dist_mean,best_goal_hops_mean,progress_mean,goal_progress_per100,stagnation_fail_rate,loop_fail_rate,timeout_fail_rate,path_length_ratio,teacher_path_hops_mean,teacher_hidden_checkpoint_count_actual,worker_aux_ce_loss,worker_entropy,critic_explained_variance,hidden_checkpoint_count_mean,hidden_checkpoint_hit_rate,ordered_checkpoint_completion_ratio,hidden_checkpoint_hit_at_rank_1,hidden_checkpoint_hit_at_rank_2,hidden_checkpoint_hit_at_rank_3plus,goal_neighbor_rate,goal_neighbor_success_rate,goal_hop_1_hit_rate,goal_hop_1_to_success_rate,goal_regression_after_best4_rate,near_goal_ce_mult_applied_rate,goal_threshold_hit_8_rate,goal_threshold_hit_4_rate,goal_threshold_hit_2_rate,stagnation_reset_on_best_goal_improve_count,stagnation_reset_near_goal_count,stagnation_reset_goal4_count,stagnation_reset_goal2_count,reward_mean,loss,wkr_lr,worker_grad_pre,worker_grad_post,worker_grad_clip_hit,hidden_bonus_weight,aux_weight
5200,53.125,79.71068158957168,12260.71875,5.0,6559.5,2.75,78.3410131931305,1.2728602886199951,46.875,0.0,0.0,3.5046873092651367,20.0,2.0,2.7294154167175293,0.5427024364471436,0.17578601837158203,2.0,65.625,40.625,65.625,15.625,0.0,56.25,77.2727279663086,56.25,94.44445037841797,50.0,3.388319253921509,90.625,71.875,62.5,24.59375,1.34375,0.71875,0.625,-129.76239013671875,0.6130239963531494,5.2160317490379834e-05,1.7467831015444844,1.7467831015444844,0.0,0.75,0.12
5400,68.75,77.62084451029567,6270.09375,2.71875,4029.34375,1.4375,87.7704381942749,1.7466557025909424,31.25,0.0,0.0,3.1857638359069824,18.0,2.0,2.717790365219116,0.5128047466278076,0.06190001964569092,2.0,62.5,60.9375,62.5,59.375,0.0,75.0,88.0,75.0,91.66667175292969,53.125,4.46866512298584,96.875,87.5,81.25,20.96875,1.6875,0.875,0.8125,-125.09024047851562,0.5597453117370605,4.934597907700413e-05,1.050791703246148,1.050791703246148,0.0,0.75,0.12
5600,75.0,82.00656596290395,8976.03125,2.71875,5019.25,1.5,84.03778672218323,1.6454458236694336,25.0,0.0,0.0,3.4548611640930176,18.0,2.0,2.8428993225097656,0.5250268578529358,0.19117599725723267,2.0,31.25,23.4375,31.25,15.625,0.0,78.125,75.0,78.125,96.0,68.75,5.628140449523926,93.75,87.5,81.25,23.78125,1.6875,0.875,0.8125,-194.51226806640625,0.517600417137146,4.655395450113514e-05,0.9432205418818242,0.9432205418818242,0.0,0.75,0.12
5800,53.125,83.43150157292486,12453.15625,4.1875,7203.9375,2.0625,80.90270757675171,1.5461039543151855,46.875,0.0,0.0,3.0171873569488525,20.0,2.0,2.682264804840088,0.4944208562374115,0.19085723161697388,2.0,46.875,43.75,46.875,40.625,0.0,53.125,100.0,53.125,100.0,40.625,3.00362491607666,93.75,81.25,75.0,24.5,1.5625,0.8125,0.75,-66.14997100830078,0.6668226718902588,4.379526260821898e-05,1.9764109364178064,1.9764109364178064,0.0,0.75,0.12
6000,71.875,83.3575366415912,6751.78125,2.6875,3403.90625,1.34375,88.41711282730103,1.4862130880355835,28.125,0.0,0.0,3.803819417953491,18.0,2.0,2.5618271827697754,0.5304561853408813,0.06930869817733765,2.0,43.75,28.125,43.75,12.5,0.0,75.0,88.46153259277344,75.0,95.83333587646484,46.875,3.9251484870910645,100.0,87.5,75.0,25.75,1.625,0.875,0.75,-224.10385131835938,0.5046248435974121,4.1080790694830594e-05,0.9786462082534774,0.9786462082534774,0.0,0.75,0.12
6200,84.375,84.51314346229474,2288.5625,0.9375,1027.9375,0.4375,92.67847537994385,3.553715705871582,15.625,0.0,0.0,1.9114583730697632,18.0,2.0,2.6690192222595215,0.48561301827430725,0.3586875796318054,2.0,43.75,42.1875,43.75,40.625,0.0,96.875,81.81818389892578,96.875,87.09677124023438,56.25,10.17257022857666,96.875,96.875,96.875,15.0,1.9375,0.96875,0.96875,-178.6446533203125,0.5191299319267273,3.842125154148814e-05,1.2438774304613756,1.2438774304613756,0.0,0.75,0.12
6400,84.375,77.71436170419013,4654.71875,1.75,3130.09375,1.15625,91.91973209381104,1.8166894912719727,15.625,0.0,0.0,2.8109374046325684,20.0,2.0,2.7508182525634766,0.5296260714530945,0.25425875186920166,2.0,28.125,25.0,28.125,21.875,0.0,84.375,90.0,84.375,100.0,43.75,5.558643817901611,96.875,87.5,87.5,27.21875,1.75,0.875,0.875,-80.93907165527344,0.44718536734580994,3.582714113420175e-05,0.9391257529817614,0.9391257529817614,0.0,0.75,0.12
6600,93.75,87.5730284406454,999.90625,0.46875,334.96875,0.21875,96.92071080207825,4.421518325805664,3.125,3.125,0.0,2.546875,10.0,2.0,3.0088164806365967,0.4883742332458496,0.2168026566505432,2.0,62.5,51.5625,62.5,40.625,0.0,93.75,96.7741928100586,93.75,100.0,65.625,12.392638206481934,100.0,96.875,96.875,14.40625,1.9375,0.96875,0.96875,5.395884990692139,0.45955052971839905,3.330869724161266e-05,1.390446071024013,1.390446071024013,0.0,0.75,0.12
6800,62.5,86.88847410144128,7893.71875,3.1875,4788.375,1.71875,76.30794644355774,1.5857336521148682,37.5,0.0,0.0,3.5458333492279053,15.0,2.0,2.738028049468994,0.4903339445590973,0.04491865634918213,2.0,59.375,45.3125,59.375,31.25,0.0,62.5,100.0,62.5,100.0,71.875,4.406580448150635,93.75,81.25,75.0,14.6875,1.5625,0.8125,0.75,-62.35498809814453,0.5848277807235718,3.087585901119729e-05,1.5958407470101923,1.5958407470101923,0.0,0.75,0.12
7000,90.625,88.46253609870806,1188.0,0.625,173.25,0.1875,94.15613412857056,4.99776029586792,9.375,0.0,0.0,2.0625,12.0,2.0,2.87011456489563,0.5170344114303589,0.2224334478378296,2.0,59.375,57.8125,59.375,56.25,0.0,90.625,96.66666412353516,90.625,100.0,40.625,14.52020263671875,100.0,100.0,100.0,11.03125,2.0,1.0,1.0,-77.66580963134766,0.45137643814086914,2.8538227743993027e-05,1.5516792469078229,1.5516792469078229,0.0,0.75,0.12
